Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
Female,24,Business,59.35,64.26,71.22,87.16,74.18,7.89,69.30,61.52,D,16.30,Yes,Yes,Bachelor's,Medium,8,6
Female,22,CS,81.85,53.83,64.56,90.14,69.76,0.48,73.97,86.53,F,15.50,No,Yes,High School,Low,3,8
Female,22,Business,87.32,53.96,57.70,77.20,62.36,4.66,61.48,59.97,A,9.60,No,Yes,None,Low,10,5
Female,19,Business,96.38,79.74,43.24,57.48,99.18,9.23,89.77,62.01,B,27.70,Yes,Yes,None,Medium,8,7
Male,24,CS,82.34,70.06,71.25,89.34,62.66,9.91,96.97,55.18,F,18.80,Yes,Yes,None,High,6,7
Female,21,Engineering,98.51,79.54,89.00,65.39,51.19,1.91,71.59,98.14,B,25.20,No,Yes,PhD,Low,7,7
Male,23,CS,67.23,81.16,91.08,61.13,75.62,8.71,95.88,62.38,B,7.60,No,Yes,Bachelor's,Medium,2,5
Female,20,CS,67.50,41.34,54.13,73.53,68.85,1.46,94.13,99.78,C,29.30,Yes,Yes,High School,Low,1,6
Female,18,Business,77.15,43.24,75.98,96.13,63.07,8.41,58.30,58.81,C,25.20,No,Yes,N/A,Low,1,7
Male,21,Engineering,69.18,71.96,91.35,64.87,81.73,2.77,58.67,51.03,B,12.20,No,Yes,N/A,Medium,3,9
Male,20,CS,50.07,51.46,64.52,95.28,68.21,9.60,73.87,94.78,D,5.50,Yes,Yes,Master's,Medium,7,6
Female,21,CS,75.43,77.95,95.93,52.68,70.11,6.95,76.29,79.00,B,9.10,No,Yes,High School,Low,9,7
Male,24,CS,87.59,73.13,94.18,54.18,51.15,3.99,67.06,67.57,B,15.50,No,Yes,High School,High,2,7
Female,20,Business,87.35,75.15,52.49,84.93,79.45,2.81,65.65,75.67,A,5.10,No,Yes,None,Medium,6,5
Female,24,CS,67.25,58.15,55.54,59.53,56.10,2.35,71.57,63.04,B,6.00,Yes,Yes,N/A,Medium,8,5
Male,20,Mathematics,76.11,78.39,50.83,65.83,60.69,6.81,84.52,81.74,C,7.50,Yes,Yes,None,Medium,9,8
Male,21,Mathematics,68.00,89.77,51.76,56.82,85.86,8.96,54.22,80.82,B,25.20,No,Yes,N/A,Low,10,7
Male,19,CS,50.80,99.88,94.47,66.61,65.66,7.55,85.53,54.01,D,18.70,Yes,Yes,PhD,High,3,9
Male,21,CS,78.12,90.31,95.87,64.02,58.16,8.35,96.31,95.53,D,9.80,Yes,Yes,PhD,Medium,5,9
Female,24,Business,56.19,73.45,43.11,86.82,78.87,7.81,88.18,73.03,C,11.60,No,Yes,Bachelor's,High,5,6
Male,21,CS,54.00,51.61,75.62,85.10,60.75,9.79,59.58,59.76,F,21.10,Yes,Yes,N/A,Low,8,5
Male,20,CS,87.77,80.89,73.85,97.75,63.55,7.58,54.37,65.37,A,13.00,No,Yes,Bachelor's,High,1,6
Male,18,CS,50.48,96.26,63.43,86.22,81.07,2.10,74.52,93.31,D,22.10,No,Yes,PhD,Low,3,4
Male,20,Engineering,97.95,52.71,77.90,84.74,86.99,7.92,97.82,69.16,A,24.50,Yes,No,Master's,Low,6,8
Male,22,Business,75.76,55.36,96.84,84.71,86.98,3.22,90.95,78.10,A,12.70,Yes,Yes,High School,Low,6,5
Female,21,CS,99.15,48.94,50.22,94.15,74.11,9.96,78.14,97.38,A,14.20,No,Yes,PhD,High,4,8
Female,23,CS,52.90,84.20,47.22,64.81,72.71,3.77,57.15,82.59,D,6.30,No,Yes,N/A,Low,5,6
Male,21,Mathematics,79.18,64.39,42.00,74.81,89.38,2.93,85.69,83.79,D,25.50,No,Yes,Master's,Medium,10,5
Male,19,Business,67.47,43.76,61.83,87.06,59.65,2.39,90.65,62.43,A,20.20,No,Yes,None,Low,3,7
Female,24,Engineering,92.17,92.50,60.26,61.44,57.61,6.59,96.75,83.41,A,27.20,No,Yes,Master's,Low,4,7
Male,23,Business,75.43,73.46,65.85,95.60,83.23,1.09,80.61,69.69,F,9.70,Yes,Yes,PhD,Medium,10,8
Female,20,Engineering,63.02,59.87,70.20,76.74,70.48,9.54,75.72,95.55,C,29.00,No,Yes,N/A,High,10,6
Female,19,Business,92.88,60.64,85.47,74.81,85.50,2.94,80.96,56.48,A,22.70,No,Yes,N/A,Low,1,9
Male,21,CS,68.73,57.42,63.53,88.80,62.83,2.95,97.16,64.28,D,9.90,Yes,Yes,N/A,Medium,6,6
Female,20,CS,50.84,67.33,59.84,65.62,66.24,0.46,81.41,53.30,D,16.60,No,Yes,Bachelor's,Medium,5,8
Male,20,Business,69.51,60.22,89.61,98.16,94.83,2.46,62.88,69.05,B,22.50,No,Yes,N/A,Low,5,4
Male,22,Engineering,82.73,72.88,90.99,74.81,71.08,4.19,81.81,57.42,A,5.40,No,Yes,N/A,High,4,8
Female,22,Mathematics,62.72,86.41,53.97,83.34,79.55,3.70,93.99,92.26,B,24.50,Yes,Yes,PhD,Medium,9,7
Female,18,CS,71.60,80.47,58.88,55.68,55.33,2.73,78.35,96.25,D,28.70,No,Yes,Bachelor's,High,9,7
Male,22,Mathematics,52.84,57.67,89.51,63.16,58.94,0.41,75.13,83.47,F,7.00,No,Yes,None,Low,5,6
Female,24,Mathematics,79.40,71.72,44.76,75.77,51.79,3.01,86.67,55.17,F,27.50,No,Yes,Bachelor's,Low,7,7
Male,23,CS,87.81,90.41,59.55,92.57,71.22,7.78,83.05,67.08,A,16.60,No,Yes,Bachelor's,Medium,3,9
Female,20,Business,70.67,44.09,66.90,59.24,99.45,4.39,52.83,98.22,D,17.90,No,Yes,N/A,High,1,6
Female,22,Engineering,71.01,44.70,51.22,55.22,93.69,2.91,86.27,56.82,C,26.00,No,Yes,PhD,Low,1,5
Male,18,Mathematics,54.41,73.37,50.79,53.72,81.65,3.05,70.38,77.82,C,19.70,No,Yes,High School,Low,3,8
Male,21,Engineering,60.10,78.35,65.49,75.35,93.05,5.54,97.04,67.65,A,13.80,No,Yes,PhD,Medium,3,7
Male,23,Business,57.73,52.68,85.27,94.24,79.71,3.02,98.54,99.96,C,23.30,No,Yes,PhD,Low,5,6
Female,22,Engineering,74.08,84.71,90.41,52.12,68.44,6.31,72.44,64.27,D,8.50,Yes,Yes,None,Medium,8,8
Male,20,CS,76.46,78.78,98.75,60.62,58.68,9.89,98.44,52.39,A,21.70,No,Yes,None,Low,6,7
Male,21,CS,75.43,95.40,44.44,84.66,82.65,0.41,65.54,85.11,F,24.40,No,Yes,None,Medium,8,7
Female,24,Engineering,53.66,50.14,53.00,91.29,59.65,1.69,84.13,66.34,D,13.40,No,Yes,High School,High,7,9
Female,20,Business,79.99,85.08,85.40,90.37,70.87,1.79,53.75,82.88,B,29.30,No,Yes,Bachelor's,Low,1,4
Male,21,Engineering,76.32,45.02,72.44,89.25,91.29,4.47,57.25,55.23,F,21.00,Yes,Yes,High School,High,10,5
Male,24,Engineering,75.81,73.92,59.66,56.49,56.46,0.41,93.23,76.15,D,7.40,Yes,Yes,Bachelor's,Low,8,9
Male,24,CS,93.66,73.11,52.34,69.86,56.45,4.78,94.69,68.76,A,29.20,No,Yes,High School,Medium,1,8
Male,23,Engineering,60.28,63.30,56.83,99.24,61.22,9.29,76.63,76.84,C,23.60,No,Yes,N/A,Low,5,5
Female,20,CS,52.04,90.67,65.76,99.44,77.60,0.12,66.99,92.67,D,22.40,Yes,Yes,PhD,Low,3,5
Female,22,Business,83.61,40.26,50.63,74.81,62.59,3.65,72.55,98.64,A,11.30,No,Yes,Bachelor's,Medium,7,8
Male,22,Mathematics,75.43,71.21,97.85,85.46,75.16,7.61,93.48,87.66,F,16.80,No,Yes,Bachelor's,Medium,5,7
Male,18,Engineering,50.88,53.03,46.46,97.56,65.10,1.54,60.55,88.34,D,27.50,No,Yes,Bachelor's,Medium,2,8
Male,21,CS,62.57,84.61,99.13,72.50,75.31,0.78,64.74,76.45,C,12.70,No,Yes,Master's,Low,1,9
Female,18,CS,65.47,42.58,90.51,56.84,63.88,6.31,89.27,54.87,A,15.60,Yes,Yes,None,Medium,10,4
Male,19,Engineering,80.84,89.89,65.39,83.45,99.00,0.10,96.76,83.35,A,11.40,Yes,Yes,Master's,Low,6,9
Male,22,Engineering,58.63,90.29,84.39,98.01,74.64,8.02,54.65,57.39,D,10.40,No,Yes,N/A,Low,6,8
Female,21,Business,70.65,89.97,80.29,84.86,87.18,0.67,90.19,62.28,D,6.10,No,Yes,N/A,Medium,8,8
Female,23,CS,74.12,49.15,52.80,90.17,85.03,5.24,82.25,85.38,C,23.40,No,Yes,PhD,High,9,7
Male,18,Business,72.96,77.82,60.34,74.81,74.53,7.40,61.54,82.85,F,7.30,No,Yes,Bachelor's,Medium,2,6
Male,23,Engineering,98.70,40.86,70.79,54.82,61.94,2.42,87.79,65.72,B,18.30,No,Yes,N/A,Low,5,7
Female,23,CS,75.43,90.88,78.27,58.44,75.54,1.04,86.40,88.60,C,6.20,Yes,Yes,Bachelor's,High,5,7
Male,23,Engineering,97.55,83.38,72.57,99.13,84.05,1.76,57.10,96.97,A,29.60,Yes,Yes,Master's,Low,10,9
Male,18,CS,79.10,71.87,68.38,74.66,73.00,8.55,75.11,77.26,F,22.70,Yes,Yes,None,Medium,8,7
Female,19,Engineering,89.79,83.84,66.59,50.60,54.10,7.06,87.91,83.88,A,20.80,No,Yes,N/A,Low,9,4
Female,24,Business,71.52,45.66,69.90,97.77,50.90,1.98,59.58,63.59,B,9.70,No,No,Master's,Medium,5,7
Female,24,Engineering,72.69,71.72,66.06,74.89,66.39,7.16,73.14,98.54,F,18.20,No,Yes,N/A,Low,5,4
Male,18,Business,93.97,57.48,72.48,91.81,57.51,7.09,56.04,63.69,A,17.60,Yes,Yes,PhD,Medium,3,9
Female,24,Engineering,94.80,98.36,93.28,77.42,95.31,9.98,65.34,94.37,A,14.00,No,No,None,Medium,6,6
Female,20,CS,61.93,91.43,77.97,55.09,58.79,3.92,60.90,96.39,A,8.90,Yes,No,PhD,High,7,9
Male,24,Engineering,59.96,84.00,83.36,80.78,69.71,8.65,75.25,85.98,C,14.20,No,Yes,Bachelor's,Low,3,4
Male,22,Engineering,74.81,96.02,75.85,74.81,85.60,4.46,57.06,90.58,D,20.20,No,Yes,Master's,Low,2,7
Female,18,CS,95.01,60.81,78.58,51.74,90.77,8.98,69.16,72.89,A,17.20,Yes,No,N/A,Low,2,5
Female,24,CS,66.12,94.05,74.70,92.09,73.89,0.92,63.76,95.98,A,19.30,No,Yes,None,High,9,7
Male,18,Engineering,82.60,59.51,41.61,61.77,59.06,1.75,87.30,87.13,F,19.30,No,No,None,High,6,7
Male,19,CS,85.41,83.97,99.98,69.69,63.54,8.50,84.98,66.34,A,11.10,No,No,Master's,Low,2,7
Female,20,CS,88.93,84.19,42.02,68.64,70.95,8.19,54.75,51.75,A,7.80,Yes,No,High School,Low,5,6
Female,18,Engineering,78.20,41.10,63.71,74.81,68.23,3.05,97.67,77.04,F,18.00,Yes,No,Master's,Medium,7,4
Male,22,CS,70.12,61.66,46.31,75.22,67.43,5.97,87.23,92.03,F,27.30,No,Yes,N/A,Medium,1,5
Female,24,Mathematics,98.35,41.17,45.82,72.36,56.59,3.83,80.80,93.03,B,29.90,Yes,Yes,N/A,Low,8,8
Male,22,CS,80.57,99.83,87.61,74.81,95.67,0.10,73.89,91.76,F,24.60,No,Yes,N/A,Medium,6,8
Female,24,Business,86.43,47.33,65.56,52.45,51.49,0.26,58.90,60.74,A,10.50,No,Yes,Master's,Low,1,8
Male,18,Engineering,67.25,72.57,88.07,54.32,72.00,0.54,98.10,71.31,C,20.80,No,Yes,PhD,Low,8,5
Male,23,Business,83.50,87.43,56.37,51.08,99.02,5.94,50.39,80.69,C,11.00,No,Yes,None,Medium,5,4
Female,24,CS,62.89,52.08,55.39,84.40,82.99,2.79,84.62,83.38,D,19.40,No,Yes,Master's,High,7,4
Female,23,Mathematics,62.25,69.10,55.07,76.28,67.77,1.44,75.37,66.73,D,17.00,No,Yes,High School,High,10,7
Male,20,Engineering,85.74,76.45,76.97,93.80,57.30,9.41,95.13,84.63,A,14.50,Yes,Yes,Bachelor's,Medium,4,7
Female,22,Business,76.07,49.61,88.90,74.93,98.19,1.21,69.03,79.54,C,21.00,Yes,Yes,PhD,High,2,5
Female,23,CS,84.16,86.71,67.14,61.09,50.70,6.74,75.93,78.34,C,26.40,No,Yes,PhD,Low,8,6
Female,22,CS,63.47,57.96,62.75,90.26,84.07,8.94,87.12,83.15,B,13.40,No,Yes,Master's,Low,4,7
Male,24,Engineering,79.94,52.66,98.41,64.72,94.01,1.64,52.38,80.17,A,17.20,No,Yes,Bachelor's,Low,8,7
Female,24,CS,72.20,73.50,47.01,96.78,51.26,2.15,52.72,58.34,C,16.40,No,Yes,Bachelor's,Low,9,8
Female,20,Engineering,79.85,64.62,69.20,62.52,86.26,5.74,60.58,93.72,C,11.20,No,Yes,None,Medium,4,7
Male,24,CS,64.54,95.22,64.51,58.39,99.94,5.08,57.32,62.03,D,15.50,No,Yes,Master's,Low,8,4
Female,20,Engineering,85.77,92.80,45.89,74.67,81.98,5.21,50.32,87.22,B,5.50,No,Yes,PhD,Medium,4,7
Female,23,Mathematics,90.30,69.00,56.09,52.53,70.73,5.55,81.15,58.82,B,17.90,No,Yes,N/A,Medium,8,4
Male,24,Engineering,63.00,61.56,41.71,51.82,93.72,9.50,89.80,83.05,D,23.00,Yes,Yes,PhD,High,1,7
Male,18,Business,65.03,59.53,92.62,74.80,77.71,0.54,97.86,94.78,C,14.20,No,Yes,None,Medium,2,6
Female,21,Engineering,83.06,56.05,76.47,60.76,87.47,7.60,72.05,50.49,F,23.70,Yes,Yes,Master's,Low,10,5
